  0.0000   0.0000   1.0000
  0.1250   0.0000   0.8750
  0.2500   0.0000   0.7500
  0.3750   0.0000   0.6250
  0.5000   0.0000   0.5000
  0.6250   0.0000   0.3750
  0.7500   0.0000   0.2500
  0.8750   0.0000   0.1250
  1.0000   0.0000   0.0000

  0.0000   0.1250   0.8750
  0.1250   0.1250   0.5042
  0.2500   0.1250   0.3082
  0.3750   0.1250   0.2306
  0.5000   0.1250   0.1820
  0.6250   0.1250   0.1372
  0.7500   0.1250   0.0996
  0.8750   0.1250   0.0909
  1.0000   0.1250   0.1250

  0.0000   0.2500   0.7500
  0.1250   0.2500   0.3082
  0.2500   0.2500   0.0991
  0.3750   0.2500   0.0477
  0.5000   0.2500   0.0349
  0.6250   0.2500   0.0276
  0.7500   0.2500   0.0346
  0.8750   0.2500   0.0996
  1.0000   0.2500   0.2500

  0.0000   0.3750   0.6250
  0.1250   0.3750   0.2306
  0.2500   0.3750   0.0477
  0.3750   0.3750   0.0080
  0.5000   0.3750   0.0035
  0.6250   0.3750   0.0048
  0.7500   0.3750   0.0276
  0.8750   0.3750   0.1372
  1.0000   0.3750   0.3750

  0.0000   0.5000   0.5000
  0.1250   0.5000   0.1820
  0.2500   0.5000   0.0349
  0.3750   0.5000   0.0035
  0.5000   0.5000   0.0006
  0.6250   0.5000   0.0035
  0.7500   0.5000   0.0349
  0.8750   0.5000   0.1820
  1.0000   0.5000   0.5000

  0.0000   0.6250   0.3750
  0.1250   0.6250   0.1372
  0.2500   0.6250   0.0276
  0.3750   0.6250   0.0048
  0.5000   0.6250   0.0035
  0.6250   0.6250   0.0080
  0.7500   0.6250   0.0477
  0.8750   0.6250   0.2306
  1.0000   0.6250   0.6250

  0.0000   0.7500   0.2500
  0.1250   0.7500   0.0996
  0.2500   0.7500   0.0346
  0.3750   0.7500   0.0276
  0.5000   0.7500   0.0349
  0.6250   0.7500   0.0477
  0.7500   0.7500   0.0991
  0.8750   0.7500   0.3082
  1.0000   0.7500   0.7500

  0.0000   0.8750   0.1250
  0.1250   0.8750   0.0909
  0.2500   0.8750   0.0996
  0.3750   0.8750   0.1372
  0.5000   0.8750   0.1820
  0.6250   0.8750   0.2306
  0.7500   0.8750   0.3082
  0.8750   0.8750   0.5042
  1.0000   0.8750   0.8750

  0.0000   1.0000   0.0000
  0.1250   1.0000   0.1250
  0.2500   1.0000   0.2500
  0.3750   1.0000   0.3750
  0.5000   1.0000   0.5000
  0.6250   1.0000   0.6250
  0.7500   1.0000   0.7500
  0.8750   1.0000   0.8750
  1.0000   1.0000   1.0000

